SourceFile,PageNumber,Date,Details,Debit,Credit,Balance
30th April 2025.PDF,6,,VDC-DUNNES CLONDAL,60.86,,105.42
30th April 2025.PDF,6,23 Apr 2025,D/D ROYAL LONDON,64.03,,
30th April 2025.PDF,6,,IE25041634530473,41.39,,
30th April 2025.PDF,6,24 Apr 2025,V165179435240425NA,294.00,,
30th April 2025.PDF,6,,IE25042441425378,335.39,,
30th April 2025.PDF,6,25 Apr 2025,VDC-CIRCLE K NEWLA,20.00,,
30th April 2025.PDF,6,,VDC-DUNNES CLONDAL,50.71,,264.68
30th April 2025.PDF,6,28 Apr 2025,VDP-Revolut**9877*,20.00,,
30th April 2025.PDF,6,,VDP-Revolut**9877*,50.00,,
30th April 2025.PDF,6,,HAP,29.20,,165.48
30th April 2025.PDF,6,30 Apr 2025,V165179435300425NA,294.00,,
30th April 2025.PDF,6,,IE25043049125987,459.48,,
